Day,event_count,GoldsteinScale,AvgTone,NumArticles,event_volatility_7d
2026-04-20,4,8.0,3.22580645161291,10,
2026-04-27,46,1.2934782608695652,-1.8965060929608324,159,
2026-04-28,32,2.16875,-1.3986490331140826,188,
