GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1220192653,20250112,202501,2025,2025.0329,GOV,AUTHORITIES,,,,,,GOV,,,,,,,,,,,,,1,051,051,05,1,3.4,10,1,10,-7.07547169811321,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250112184500,https://www.alwihdainfo.com/Benin-Au-moins-six-morts-dans-un-incendie-a-Ayelawadje-1-Cotonou_a137929.html
1220179451,20250112,202501,2025,2025.0329,NGA,NIGERIA,NGA,,,,,,,,,,,,,,,,,,1,112,112,11,3,-2.0,1,1,1,-3.98550724637681,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250112164500,https://tribuneonlineng.com/a-new-nigeria-remains-possible-obi-makes-u-turn-on-grid-collapse-comment/
1220213753,20250112,202501,2025,2025.0329,GOV,KING,,,,,,GOV,,,NGA,BENIN CITY,NGA,,,,,,,,1,017,017,01,1,0.0,2,1,2,1.22448979591836,5,"Bayelsa State, Bayelsa, Nigeria",NI,NI52,191393,4.75,6.08333,9098614,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250112233000,https://blueprint.ng/oba-of-benin-holds-2025-thanksgiving/
1220210473,20250112,202501,2025,2025.0329,COP,POLICE,,,,,,COP,,,,,,,,,,,,,0,051,051,05,1,3.4,3,1,3,-1.72786177105832,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250112224500,https://www.tell.ng/edo-state-govt-police-commissioner-assure-12-year-old-gang-raped-girl-of-justice-as-three-suspects-are-nabbed/
1220204221,20250112,202501,2025,2025.0329,,,,,,,,,,,BEN,BENIN,BEN,,,,,,,,1,042,042,04,1,1.9,10,1,10,1.82926829268293,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250112210000,https://www.bahianoticias.com.br/noticia/300229-prefeito-bruno-reis-encerra-visita-ao-benin-com-avancos-em-cooperacao-cultural-e-comercial
1220175348,20250112,202501,2025,2025.0329,IGOAFRAFU,THE AU,AFR,,,,,IGO,,,BENMIL,BENIN,BEN,,,,,MIL,,,1,190,190,19,4,-10.0,10,1,10,-6.71140939597315,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250112154500,http://french.china.org.cn/foreign/txt/2025-01/12/content_117659412.htm
1220203238,20250112,202501,2025,2025.0329,IGOWAFBUSWAS,ECOWAS,WAF,WAS,,,,IGO,BUS,,UAF,TERRORIST,,,,,,UAF,,,1,111,111,11,3,-2.0,10,1,10,-4.46428571428571,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250112204500,http://french.china.org.cn/foreign/txt/2025-01/13/content_117659593.htm
1220161448,20250112,202501,2025,2025.0329,BENREL,BENIN,BEN,,,,,,,,,,,,,,,,,,1,010,010,01,1,0.0,8,1,8,3.625,4,"Kokou, Benin (general), Benin",BN,BN00,5886,9.73606,2.64774,-1334390,0,,,,,,,,4,"Kokou, Benin (general), Benin",BN,BN00,5886,9.73606,2.64774,-1334390,20250112134500,https://www.malaymail.com/news/life/2025/01/12/the-women-behind-the-magic-voodoo-traditions-thrive-in-benin/162920
1220178440,20250112,202501,2025,2025.0329,GOV,MINIST,,,,,,GOV,,,,,,,,,,,,,1,040,040,04,1,1.0,10,1,10,2.11267605633803,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250112161500,https://www.icihaiti.com/article-44043-icihaiti-politique-signature-d-un-accord-de-defense-militaire-reciproque-avec-le-benin.html
1220192873,20250112,202501,2025,2025.0329,MLI,BAMAKO,MLI,,,,,,,,,,,,,,,,,,1,141,141,14,3,-6.5,8,1,8,-5.23809523809524,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250112184500,https://www.dakaractu.com/Manifestations-prevues-a-Abidjan-contre-la-sortie-du-Mali-de-la-CEDEAO-Ce-qu-en-pense-l-essayiste-et-editeur-franco_a257536.html
1220199137,20250112,202501,2025,2025.0329,CVL,TOURIST,,,,,,CVL,,,,,,,,,,,,,0,110,110,11,3,-2.0,10,1,10,4.22222222222223,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250112200000,https://www.voaafrique.com/a/vodun-days-2025-au-b%C3%A9nin-entre-d%C3%A9mystification-et-promotion-culturelle/7933975.html
1220191728,20250112,202501,2025,2025.0329,,,,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,1,042,042,04,1,1.9,5,1,5,-3.77358490566037,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250112190000,https://dailypost.ng/2025/01/12/house-wife-arrested-for-allegedly-inflicting-injury-on-minors-private-part/
1220159795,20250112,202501,2025,2025.0329,BEN,BENIN,BEN,,,,,,,,,,,,,,,,,,1,010,010,01,1,0.0,2,1,2,0.0,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250112133000,https://www.modernghana.com/entertainment/79532/im-still-struggling-financially-oscar-nominated.html
1220204016,20250112,202501,2025,2025.0329,TGO,TOGO,TGO,,,,,,,,BEN,BENIN,BEN,,,,,,,,0,190,190,19,4,-10.0,6,1,6,-7.71084337349398,4,"Pendjari, Togo (general), Togo",TO,TO00,5871,10.9,0.85,-1722157,4,"Karimama, Alibori, Benin",BN,BN07,5864,12.0691,3.18405,-1334168,4,"Karimama, Alibori, Benin",BN,BN07,5864,12.0691,3.18405,-1334168,20250112211500,https://thepeninsulaqatar.com/article/12/01/2025/al-qaeda-linked-militant-group-claims-deadly-benin-attack
1220182016,20250112,202501,2025,2025.0329,,,,,,,,,,,LAB,UNIONS,,,,,,LAB,,,1,112,112,11,3,-2.0,5,1,5,-2.34986945169712,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250112171500,https://www.peoplesdailyng.com/okpebholo-confounding-the-doubters-redefining-leadership-in-edo/
1220213918,20250112,202501,2025,2025.0329,REL,PRIEST,,,,,,,,,,,,,,,,,,,1,012,012,01,1,-0.4,1,1,1,1.22448979591836,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250112233000,https://blueprint.ng/oba-of-benin-holds-2025-thanksgiving/
1220169916,20250112,202501,2025,2025.0329,BRA,BRAZIL,BRA,,,,,,,,REL,RELIGION,,,,,,,,,1,051,051,05,1,3.4,1,1,1,-1.52439024390244,1,Brazil,BR,BR,,-10.0,-55.0,BR,1,United States,US,US,,39.828175,-98.5795,US,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,20250112151500,https://www.africanews.com/2025/01/12/benin-celebrates-vodun-to-reclaim-cultural-identity/
1220182299,20250112,202501,2025,2025.0329,GOV,PRESIDENTIAL PALACE,,,,,,GOV,,,,,,,,,,,,,1,138,138,13,3,-7.0,5,1,5,-1.74418604651163,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250112171500,https://theeagleonline.com.ng/primate-ayodeles-2025-prophecies-for-namibia-kenya-benin-uganda-ethiopia-others/
1220184716,20250112,202501,2025,2025.0329,,,,,,,,,,,BEN,BENIN,BEN,,,,,,,,1,042,042,04,1,1.9,10,1,10,3.84615384615385,0,,,,,,,,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,20250112174500,https://tv.guardian.ng/celebrating-benins-vodun-heritage/
1220203621,20250112,202501,2025,2025.0329,BFA,BURKINA FASO,BFA,,,,,,,,BEN,BENINESE,BEN,,,,,,,,0,190,190,19,4,-10.0,2,1,2,-7.71084337349398,1,Burkina Faso,UV,UV,,13.0,-2.0,UV,4,"Karimama, Alibori, Benin",BN,BN07,5864,12.0691,3.18405,-1334168,4,"Karimama, Alibori, Benin",BN,BN07,5864,12.0691,3.18405,-1334168,20250112211500,https://thepeninsulaqatar.com/article/12/01/2025/al-qaeda-linked-militant-group-claims-deadly-benin-attack
1220169890,20250112,202501,2025,2025.0329,BEN,BENIN,BEN,,,,,,,,REL,RELIGION,,,,,,,,,1,043,043,04,1,2.8,8,1,8,-1.52439024390244,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,1,United States,US,US,,39.828175,-98.5795,US,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,20250112151500,https://www.africanews.com/2025/01/12/benin-celebrates-vodun-to-reclaim-cultural-identity/
1220169915,20250112,202501,2025,2025.0329,BRA,BRAZIL,BRA,,,,,,,,REL,RELIGION,,,,,,,,,1,051,051,05,1,3.4,1,1,1,-1.52439024390244,1,Brazil,BR,BR,,-10.0,-55.0,BR,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,20250112151500,https://www.africanews.com/2025/01/12/benin-celebrates-vodun-to-reclaim-cultural-identity/
1220169888,20250112,202501,2025,2025.0329,BEN,BENIN,BEN,,,,,,,,,,,,,,,,,,1,051,051,05,1,3.4,14,1,10,-1.52439024390244,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,0,,,,,,,,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,20250112151500,https://www.africanews.com/2025/01/12/benin-celebrates-vodun-to-reclaim-cultural-identity/
1220185091,20250112,202501,2025,2025.0329,GOV,MINIST OF FOREIGN AFFAIRS,,,,,,GOV,,,QAT,QATAR,QAT,,,,,,,,1,010,010,01,1,0.0,2,1,2,-10.4651162790698,1,Benin,BN,BN,,9.5,2.25,BN,1,Qatar,QA,QA,,25.5,51.25,QA,1,Benin,BN,BN,,9.5,2.25,BN,20250112174500,https://www.qatar-tribune.com/article/158122/latest-news/qatar-strongly-condemns-attack-in-benin
1220192084,20250112,202501,2025,2025.0329,IGOWAFBUSWAS,ECOWAS,WAF,WAS,,,,IGO,BUS,,,,,,,,,,,,0,051,051,05,1,3.4,10,1,10,-2.97619047619047,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250112190000,https://punchng.com/ecowas-condemns-deadly-attacks-in-benin-expresses-solidarity/
1220204376,20250112,202501,2025,2025.0329,GOV,MAYOR,,,,,,GOV,,,BEN,COTONOU,BEN,,,,,,,,1,040,040,04,1,1.0,10,1,10,1.82926829268293,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250112210000,https://www.bahianoticias.com.br/noticia/300229-prefeito-bruno-reis-encerra-visita-ao-benin-com-avancos-em-cooperacao-cultural-e-comercial
1220205509,20250112,202501,2025,2025.0329,USA,UNITED STATES,USA,,,,,,,,BEN,BENIN,BEN,,,,,,,,1,010,010,01,1,0.0,1,1,1,-0.355871886121001,3,"Hollywood, California, United States",US,USCA,CA037,34.0983,-118.327,1660757,3,"Hollywood, California, United States",US,USCA,CA037,34.0983,-118.327,1660757,1,Benin,BN,BN,,9.5,2.25,BN,20250112213000,https://www.thenews.com.pk/latest/1271558-struggling-djimon-hounsou-calls-out-hollywood-pay-gap-im-underpaid
